Year,Month,USD,EUR,GBP,HKD,CHF,CNY,INR
2019,12,1,0.899828,0.762434,7.805379,0.983091,7.016311,71.183558
2019,11,1,0.904915,0.776056,7.82838,0.993374,7.019423,71.47012
2019,10,1,0.904811,0.792132,7.842305,0.993528,7.097845,71.040744
2019,9,1,0.908787,0.809655,7.835813,0.990846,7.117783,71.399432
2019,8,1,0.898802,0.822856,7.841193,0.978989,7.062691,71.174543
2019,7,1,0.891421,0.801769,7.812016,0.987287,6.877214,68.751616
2019,6,1,0.8855,0.789036,7.826106,0.988854,6.901175,69.428644
2019,5,1,0.894093,0.779445,7.848236,1.010658,6.860944,69.80985
2019,4,1,0.88984,0.766854,7.844967,1.007252,6.717222,69.409239
2019,3,1,0.884778,0.759331,7.849423,1.000719,6.71252,69.50756
2019,2,1,0.880989,0.76879,7.84785,1.001467,6.738166,71.234619
2019,1,1,0.875952,0.776097,7.842002,0.989562,6.788843,70.774544
2018,12,1,0.878423,0.78859,7.820106,0.991992,6.886526,70.816106
2018,11,1,0.879773,0.775233,7.829816,1.000912,6.939536,71.753184
2018,10,1,0.870816,0.7687,7.837905,0.993871,6.921122,73.619441
2018,9,1,0.857763,0.765824,7.837537,0.968041,6.855803,72.229002
2018,8,1,0.865963,0.776637,7.849635,0.988282,6.84865,69.639795
2018,7,1,0.855759,0.759279,7.847832,0.994563,6.71802,68.716034
2018,6,1,0.856336,0.752594,7.847229,0.99008,6.466318,67.786743
2018,5,1,0.846676,0.742731,7.848803,0.997212,6.374249,67.551007
2018,4,1,0.814625,0.710468,7.848431,0.968596,6.300631,65.702752
2018,3,1,0.810642,0.715687,7.840837,0.947183,6.321415,65.054934
2018,2,1,0.809896,0.715919,7.822038,0.934801,6.322437,64.435412
2018,1,1,0.819851,0.724229,7.819532,0.961141,6.42725,63.654439
2017,12,1,0.844888,0.74573,7.813236,0.987615,6.596276,64.266335
2017,11,1,0.852009,0.756511,7.805138,0.991688,6.6216,64.854238
2017,10,1,0.850666,0.757681,7.805704,0.982152,6.625751,65.071886
2017,9,1,0.839346,0.750922,7.81349,0.962726,6.568458,64.462392
2017,8,1,0.846969,0.771778,7.821546,0.965696,6.671576,63.987231
2017,7,1,0.868839,0.769892,7.809191,0.960783,6.773221,64.45638
2017,6,1,0.890555,0.781223,7.798931,0.96837,6.808887,64.455023
2017,5,1,0.904505,0.773732,7.787299,0.986275,6.885102,64.450711
2017,4,1,0.932703,0.791172,7.774475,1.000409,6.891173,64.539288
2017,3,1,0.936016,0.810213,7.766634,1.002132,6.897014,65.823713
2017,2,1,0.939664,0.801255,7.759952,1.001645,6.872602,66.984848
2017,1,1,0.942206,0.811219,7.756612,1.009432,6.895511,68.098877
2016,12,1,0.948636,0.801046,7.758992,1.019767,6.922789,67.85614
2016,11,1,0.926326,0.804643,7.756171,0.996461,6.842736,67.664608
2016,10,1,0.907036,0.810832,7.757317,0.98742,6.729756,66.731599
